Epoch,Loss,Accuracy
1,0.6446239463832456,0.0011192920204782047
2,0.2977129669857727,0.0018553397020060617
3,0.1605767139083,0.0027873025140360314
4,0.14850534113467082,0.003869909231193123
5,0.13904397757647258,0.004968126715720902
6,0.139850108394554,0.004966565638983833
7,0.14049119962747092,0.0059391164461775866
8,0.13484888125345537,0.006733704505345517
9,0.13534212833879267,0.008923114629084265
10,0.13473959709818373,0.010765185178825243
